,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,, Other,2,4,6,,,,,,,,,,
,, Total,127374,132513,259887,,,,,,,,,,
,Tongibari,,Male,Female,Total,,,,,,,,,,
,, Muslim,90406,91538,181944,,,,,,,,,,
,, Hindu,7698,7510,15208,,,,,,,,,,
,, Christian,14,4,18,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,1,1,2,,,,,,,,,,
,, Total,98120,99053,197173,,,,,,,,,,
,Bhaluka,,Male,Female,Total,,,,,,,,,,
,, Muslim,206994,203751,410745,,,,,,,,,,
,, Hindu,8983,8398,17381,,,,,,,,,,
,, Christian,792,681,1473,,,,,,,,,,
,, Buddhist,23,12,35,,,,,,,,,,
,, Other,342,344,686,,,,,,,,,,
,, Total,217134,213186,430320,,,,,,,,,,
,Dhobaura,,Male,Female,Total,,,,,,,,,,
,, Muslim,88337,91034,179371,,,,,,,,,,
,, Hindu,3335,3565,6900,,,,,,,,,,
,, Christian,4719,5188,9907,,,,,,,,,,
,, Buddhist,1,3,4,,,,,,,,,,
,, Other,56,46,102,,,,,,,,,,
,, Total,96448,99836,196284,,,,,,,,,,
,Fulbaria,,Male,Female,Total,,,,,,,,,,
,, Muslim,216704,219419,436123,,,,,,,,,,
,, Hindu,5602,5541,11143,,,,,,,,,,
,, Christian,507,508,1015,,,,,,,,,,
,, Buddhist,5,1,6,,,,,,,,,,
,, Other,83,97,180,,,,,,,,,,
,, Total,222901,225566,448467,,,,,,,,,,
,Gaffargaon,,Male,Female,Total,,,,,,,,,,
,, Muslim,207336,216892,424228,,,,,,,,,,
,, Hindu,3096,3056,6152,,,,,,,,,,
,, Christian,12,5,17,,,,,,,,,,
,, Buddhist,2,4,6,,,,,,,,,,
,, Other,178,165,343,,,,,,,,,,
,, Total,210624,220122,430746,,,,,,,,,,
,Gauripur,,Male,Female,Total,,,,,,,,,,
,, Muslim,153275,156770,310045,,,,,,,,,,
,, Hindu,6272,6382,12654,,,,,,,,,,
,, Christian,30,32,62,,,,,,,,,,
,, Buddhist,1,2,3,,,,,,,,,,
,, Other,144,149,293,,,,,,,,,,
,, Total,159722,163335,323057,,,,,,,,,,
,Haluaghat,,Male,Female,Total,,,,,,,,,,
,, Muslim,130491,134442,264933,,,,,,,,,,
,, Hindu,5970,6119,12089,,,,,,,,,,
,, Christian,6041,6731,12772,,,,,,,,,,
,, Buddhist,2,1,3,,,,,,,,,,
,, Other,128,118,246,,,,,,,,,,
,, Total,142632,147411,290043,,,,,,,,,,
,Ishwarganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,181146,183083,364229,,,,,,,,,,
,, Hindu,6027,6016,12043,,,,,,,,,,
,, Christian,10,-,10,,,,,,,,,,
,, Other,34,32,66,,,,,,,,,,
,, Total,187217,189131,376348,,,,,,,,,,
,Mymensingh,,Male,Female,Total,,,,,,,,,,
,, Muslim,366887,360948,727835,,,,,,,,,,
,, Hindu,23545,22679,46224,,,,,,,,,,
,, Christian,580,752,1332,,,,,,,,,,
,, Buddhist,31,17,48,,,,,,,,,,
,, Other,144,150,294,,,,,,,,,,
,, Total,391187,384546,775733,,,,,,,,,,
,Muktagachha,,Male,Female,Total,,,,,,,,,,
,, Muslim,196789,199137,395926,,,,,,,,,,
,, Hindu,9459,9307,18766,,,,,,,,,,
,, Christian,360,353,713,,,,,,,,,,
,, Buddhist,1,3,4,,,,,,,,,,
,, Other,38,26,64,,,,,,,,,,
,, Total,206647,208826,415473,,,,,,,,,,
,Nandail,,Male,Female,Total,,,,,,,,,,
,, Muslim,194250,200585,394835,,,,,,,,,,
,, Hindu,3773,3770,7543,,,,,,,,,,
,, Christian,13,5,18,,,,,,,,,,
,, Other,165,166,331,,,,,,,,,,
,, Total,198201,204526,402727,,,,,,,,,,
,Phulpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,286578,292724,579302,,,,,,,,,,
,, Hindu,10359,10449,20808,,,,,,,,,,
,, Christian,502,554,1056,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,308,288,596,,,,,,,,,,
,, Total,297749,304017,601766,,,,,,,,,,
,Trishal,,Male,Female,Total,,,,,,,,,,
,, Muslim,202810,204885,407695,,,,,,,,,,
,, Hindu,5705,5618,11323,,,,,,,,,,
,, Christian,37,34,71,,,,,,,,,,
,, Buddhist,2,1,3,,,,,,,,,,
,, Other,108,108,216,,,,,,,,,,
,, Total,208662,210646,419308,,,,,,,,,,
,Araihazar,,Male,Female,Total,,,,,,,,,,
,, Muslim,181735,181998,363733,,,,,,,,,,
,, Hindu,6578,6218,12796,,,,,,,,,,
,, Christian,5,8,13,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,5,2,7,,,,,,,,,,
,, Total,188324,188226,376550,,,,,,,,,,
,Sonargaon,,Male,Female,Total,,,,,,,,,,
,, Muslim,196646,188893,385539,,,,,,,,,,
,, Hindu,7565,6919,14484,,,,,,,,,,
,, Christian,175,60,235,,,,,,,,,,
,, Buddhist,36,31,67,,,,,,,,,,
,, Other,16,17,33,,,,,,,,,,
,, Total,204438,195920,400358,,,,,,,,,,
,Bandar,,Male,Female,Total,,,,,,,,,,
,, Muslim,151209,147650,298859,,,,,,,,,,
,, Hindu,7196,6661,13857,,,,,,,,,,
,, Christian,59,29,88,,,,,,,,,,
,, Buddhist,19,6,25,,,,,,,,,,
,, Other,8,4,12,,,,,,,,,,
,, Total,158491,154350,312841,,,,,,,,,,
,Narayanganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,651237,596776,1248013,,,,,,,,,,
,, Hindu,38891,35898,74789,,,,,,,,,,
,, Christian,294,169,463,,,,,,,,,,
,, Buddhist,170,75,245,,,,,,,,,,
,, Other,49,41,90,,,,,,,,,,
,, Total,690641,632959,1323600,,,,,,,,,,
,Rupganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,264694,241729,506423,,,,,,,,,,
,, Hindu,14687,13492,28179,,,,,,,,,,
,, Christian,107,57,164,,,,,,,,,,
,, Buddhist,20,20,40,,,,,,,,,,
,, Other,36,26,62,,,,,,,,,,
,, Total,279544,255324,534868,,,,,,,,,,
,Belabo,,Male,Female,Total,,,,,,,,,,
,, Muslim,90336,94633,184969,,,,,,,,,,
,, Hindu,2532,2562,5094,,,,,,,,,,
,, Christian,-,1,1,,,,,,,,,,
,, Other,8,14,22,,,,,,,,,,
,, Total,92876,97210,190086,,,,,,,,,,
,Manohardi,,Male,Female,Total,,,,,,,,,,
,, Muslim,125022,137280,262302,,,,,,,,,,
,, Hindu,6254,6478,12732,,,,,,,,,,
,, Christian,5,1,6,,,,,,,,,,
,, Buddhist,9,8,17,,,,,,,,,,
,, Other,26,29,55,,,,,,,,,,
,, Total,131316,143796,275112,,,,,,,,,,
,Narsingdi,,Male,Female,Total,,,,,,,,,,
,, Muslim,336928,318566,655494,,,,,,,,,,
,, Hindu,26826,25102,51928,,,,,,,,,,
,, Christian,35,26,61,,,,,,,,,,
,, Buddhist,17,14,31,,,,,,,,,,
,, Other,5,6,11,,,,,,,,,,
,, Total,363811,343714,707525,,,,,,,,,,
,Palash,,Male,Female,Total,,,,,,,,,,
,, Muslim,95612,93235,188847,,,,,,,,,,
,, Hindu,11851,11827,23678,,,,,,,,,,
,, Christian,44,22,66,,,,,,,,,,
,, Buddhist,5,3,8,,,,,,,,,,
,, Other,6,7,13,,,,,,,,,,
,, Total,107518,105094,212612,,,,,,,,,,
,Roypura,,Male,Female,Total,,,,,,,,,,
,, Muslim,249090,266489,515579,,,,,,,,,,
,, Hindu,9898,10301,20199,,,,,,,,,,
,, Christian,3,7,10,,,,,,,,,,
,, Buddhist,-,2,2,,,,,,,,,,
,, Other,2,4,6,,,,,,,,,,
,, Total,258993,276803,535796,,,,,,,,,,
,Shibpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,142444,149194,291638,,,,,,,,,,
,, Hindu,5966,6172,12138,,,,,,,,,,
,, Christian,5,2,7,,,,,,,,,,
,, Buddhist,1,6,7,,,,,,,,,,
,, Other,13,10,23,,,,,,,,,,
,, Total,148429,155384,303813,,,,,,,,,,
,Atpara,,Male,Female,Total,,,,,,,,,,
,, Muslim,65545,65787,131332,,,,,,,,,,
,, Hindu,6502,6642,13144,,,,,,,,,,
,, Christian,5,8,13,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,64,69,133,,,,,,,,,,
,, Total,72117,72507,144624,,,,,,,,,,
,Barhatta,,Male,Female,Total,,,,,,,,,,
,, Muslim,81008,80165,161173,,,,,,,,,,
,, Hindu,9540,9676,19216,,,,,,,,,,
,, Christian,11,14,25,,,,,,,,,,
,, Buddhist,-,2,2,,,,,,,,,,
,, Other,17,16,33,,,,,,,,,,
,, Total,90576,89873,180449,,,,,,,,,,
,Durgapur,,Male,Female,Total,,,,,,,,,,
,, Muslim,100849,101764,202613,,,,,,,,,,
,, Hindu,6502,6708,13210,,,,,,,,,,
,, Christian,4189,4548,8737,,,,,,,,,,
,, Buddhist,5,2,7,,,,,,,,,,
,, Other,146,160,306,,,,,,,,,,
,, Total,111691,113182,224873,,,,,,,,,,
,Khaliajuri,,Male,Female,Total,,,,,,,,,,
,, Muslim,33182,31551,64733,,,,,,,,,,
,, Hindu,16593,16090,32683,,,,,,,,,,
,, Christian,10,6,16,,,,,,,,,,
,, Other,10,8,18,,,,,,,,,,
,, Total,49795,47655,97450,,,,,,,,,,
,Kalmakanda,,Male,Female,Total,,,,,,,,,,
,, Muslim,115473,116950,232423,,,,,,,,,,
,, Hindu,14908,15482,30390,,,,,,,,,,
,, Christian,4296,4311,8607,,,,,,,,,,
,, Buddhist,7,8,15,,,,,,,,,,
,, Other,212,265,477,,,,,,,,,,
,, Total,134896,137016,271912,,,,,,,,,,
,Kendua,,Male,Female,Total,,,,,,,,,,
,, Muslim,144239,148775,293014,,,,,,,,,,
,, Hindu,5624,5708,11332,,,,,,,,,,
,, Christian,7,3,10,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,186,186,372,,,,,,,,,,
,, Total,150057,154672,304729,,,,,,,,,,
,Madan,,Male,Female,Total,,,,,,,,,,
,, Muslim,72505,71665,144170,,,,,,,,,,
,, Hindu,5191,4988,10179,,,,,,,,,,
,, Christian,8,4,12,,,,,,,,,,
,, Other,59,59,118,,,,,,,,,,
,, Total,77763,76716,154479,,,,,,,,,,
,Mohanganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,71005,69850,140855,,,,,,,,,,
,, Hindu,13144,13358,26502,,,,,,,,,,
,, Christian,44,48,92,,,,,,,,,,
,, Other,30,28,58,,,,,,,,,,
,, Total,84223,83284,167507,,,,,,,,,,
,Netrokona,,Male,Female,Total,,,,,,,,,,
,, Muslim,168920,167834,336754,,,,,,,,,,
,, Hindu,17984,17835,35819,,,,,,,,,,
,, Christian,64,39,103,,,,,,,,,,
,, Buddhist,7,5,12,,,,,,,,,,
,, Other,51,46,97,,,,,,,,,,
,, Total,187026,185759,372785,,,,,,,,,,
,Purbadhala,,Male,Female,Total,,,,,,,,,,
,, Muslim,145205,149460,294665,,,,,,,,,,
,, Hindu,7356,7599,14955,,,,,,,,,,
,, Christian,293,292,585,,,,,,,,,,
,, Buddhist,9,6,15,,,,,,,,,,
,, Other,299,315,614,,,,,,,,,,
,, Total,153162,157672,310834,,,,,,,,,,
,Baliakandi,,Male,Female,Total,,,,,,,,,,
,, Muslim,81989,82217,164206,,,,,,,,,,
,, Hindu,21659,21160,42819,,,,,,,,,,
,, Christian,27,30,57,,,,,,,,,,
,, Buddhist,-,3,3,,,,,,,,,,
,, Other,-,1,1,,,,,,,,,,
,, Total,103675,103411,207086,,,,,,,,,,
,Goalanda,,Male,Female,Total,,,,,,,,,,
,, Muslim,52608,55546,108154,,,,,,,,,,
,, Hindu,2304,2272,4576,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,54913,57819,112732,,,,,,,,,,
,Kalukhali,,Male,Female,Total,,,,,,,,,,
,, Muslim,71243,71901,143144,,,,,,,,,,
,, Hindu,5930,5911,11841,,,,,,,,,,
,, Christian,7,8,15,,,,,,,,,,
,, Other,25,19,44,,,,,,,,,,
,, Total,77205,77839,155044,,,,,,,,,,
,Pangsha,,Male,Female,Total,,,,,,,,,,
,, Muslim,112316,112374,224690,,,,,,,,,,
,, Hindu,9402,9186,18588,,,,,,,,,,
,, Christian,3,2,5,,,,,,,,,,
,, Other,2,-,2,,,,,,,,,,
,, Total,121723,121562,243285,,,,,,,,,,
,Rajbari,,Male,Female,Total,,,,,,,,,,
,, Muslim,147827,154506,302333,,,,,,,,,,
,, Hindu,14588,14562,29150,,,,,,,,,,
,, Christian,54,58,112,,,,,,,,,,
,, Other,14,22,36,,,,,,,,,,
,, Total,162483,169148,331631,,,,,,,,,,
,Bhedarganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,118170,128380,246550,,,,,,,,,,
,, Hindu,3300,3352,6652,,,,,,,,,,
,, Christian,18,1,19,,,,,,,,,,
,, Other,6,7,13,,,,,,,,,,
,, Total,121494,131740,253234,,,,,,,,,,
,Damudya,,Male,Female,Total,,,,,,,,,,
,, Muslim,49839,56117,105956,,,,,,,,,,
,, Hindu,1500,1530,3030,,,,,,,,,,
,, Christian,1,1,2,,,,,,,,,,
,, Other,8,7,15,,,,,,,,,,
,, Total,51348,57655,109003,,,,,,,,,,
,Gosairhat,,Male,Female,Total,,,,,,,,,,
,, Muslim,73093,78780,151873,,,,,,,,,,
,, Hindu,2962,2791,5753,,,,,,,,,,
,, Christian,10,8,18,,,,,,,,,,
,, Buddhist,5,5,10,,,,,,,,,,
,, Other,6,5,11,,,,,,,,,,
,, Total,76076,81589,157665,,,,,,,,,,
,Naria,,Male,Female,Total,,,,,,,,,,
,, Muslim,103730,115484,219214,,,,,,,,,,
,, Hindu,6229,6181,12410,,,,,,,,,,
,, Christian,4,3,7,,,,,,,,,,
,, Other,4,9,13,,,,,,,,,,
,, Total,109967,121677,231644,,,,,,,,,,
,Shariatpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,98335,100776,199111,,,,,,,,,,
,, Hindu,5760,5318,11078,,,,,,,,,,
,, Christian,46,8,54,,,,,,,,,,
,, Buddhist,6,7,13,,,,,,,,,,
,, Other,2,1,3,,,,,,,,,,
,, Total,104149,106110,210259,,,,,,,,,,
,Zanjira,,Male,Female,Total,,,,,,,,,,
,, Muslim,94588,97009,191597,,,,,,,,,,
,, Hindu,1445,962,2407,,,,,,,,,,
,, Christian,7,7,14,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,96041,97978,194019,,,,,,,,,,
,Jhenaigati,,Male,Female,Total,,,,,,,,,,
,, Muslim,75074,76465,151539,,,,,,,,,,
,, Hindu,2766,2771,5537,,,,,,,,,,
,, Christian,1582,1522,3104,,,,,,,,,,
,, Other,126,146,272,,,,,,,,,,
,, Total,79548,80904,160452,,,,,,,,,,
,Nakla,,Male,Female,Total,,,,,,,,,,
,, Muslim,90896,94770,185666,,,,,,,,,,
,, Hindu,1967,1992,3959,,,,,,,,,,
,, Christian,20,12,32,,,,,,,,,,
,, Other,12,16,28,,,,,,,,,,
,, Total,92895,96790,189685,,,,,,,,,,
,Nalitabari,,Male,Female,Total,,,,,,,,,,
,, Muslim,117988,119942,237930,,,,,,,,,,
,, Hindu,4739,4769,9508,,,,,,,,,,
,, Christian,1803,1876,3679,,,,,,,,,,
,, Buddhist,3,2,5,,,,,,,,,,
,, Other,116,123,239,,,,,,,,,,
,, Total,124649,126712,251361,,,,,,,,,,
,Sherpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,243411,240090,483501,,,,,,,,,,
,, Hindu,6576,6347,12923,,,,,,,,,,
,, Christian,294,263,557,,,,,,,,,,
,, Buddhist,17,11,28,,,,,,,,,,
,, Other,78,92,170,,,,,,,,,,
,, Total,250376,246803,497179,,,,,,,,,,
,Sreebardi,,Male,Female,Total,,,,,,,,,,
,, Muslim,126492,128391,254883,,,,,,,,,,
,, Hindu,1520,1497,3017,,,,,,,,,,
,, Christian,691,623,1314,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,216,217,433,,,,,,,,,,
,, Total,128920,130728,259648,,,,,,,,,,
,Basail,,Male,Female,Total,,,,,,,,,,
,, Muslim,66958,76177,143135,,,,,,,,,,
,, Hindu,8263,8464,16727,,,,,,,,,,
,, Christian,3,1,4,,,,,,,,,,
,, Other,2,2,4,,,,,,,,,,
,, Total,75226,84644,159870,,,,,,,,,,
,Bhuapur,,Male,Female,Total,,,,,,,,,,
,, Muslim,89085,94663,183748,,,,,,,,,,
,, Hindu,3134,3012,6146,,,,,,,,,,
,, Christian,4,-,4,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,6,7,13,,,,,,,,,,
,, Total,92230,97683,189913,,,,,,,,,,
,Delduar,,Male,Female,Total,,,,,,,,,,
,, Muslim,88947,95043,183990,,,,,,,,,,
,, Hindu,11683,11591,23274,,,,,,,,,,
,, Christian,4,4,8,,,,,,,,,,
,, Buddhist,4,1,5,,,,,,,,,,
,, Other,-,1,1,,,,,,,,,,
,, Total,100638,106640,207278,,,,,,,,,,
,Dhanbari,,Male,Female,Total,,,,,,,,,,
,, Muslim,83492,87827,171319,,,,,,,,,,
,, Hindu,2312,2351,4663,,,,,,,,,,
,, Christian,11,24,35,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,26,23,49,,,,,,,,,,
,, Total,85842,90226,176068,,,,,,,,,,
,Ghatail,,Male,Female,Total,,,,,,,,,,
,, Muslim,195354,202638,397992,,,,,,,,,,
,, Hindu,9551,9332,18883,,,,,,,,,,
,, Christian,25,13,38,,,,,,,,,,
,, Buddhist,18,2,20,,,,,,,,,,
,, Other,488,518,1006,,,,,,,,,,
,, Total,205436,212503,417939,,,,,,,,,,
,Gopalpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,118715,123885,242600,,,,,,,,,,
,, Hindu,4758,4916,9674,,,,,,,,,,
,, Christian,12,7,19,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,19,18,37,,,,,,,,,,
,, Total,123504,128827,252331,,,,,,,,,,
,Kalihati,,Male,Female,Total,,,,,,,,,,
,, Muslim,186874,191856,378730,,,,,,,,,,
,, Hindu,15802,15735,31537,,,,,,,,,,
,, Christian,8,9,17,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,2,5,7,,,,,,,,,,
,, Total,202688,207605,410293,,,,,,,,,,
,Madhupur,,Male,Female,Total,,,,,,,,,,
,, Muslim,134814,136538,271352,,,,,,,,,,
,, Hindu,5787,5759,11546,,,,,,,,,,
,, Christian,7018,6582,13600,,,,,,,,,,
,, Buddhist,8,3,11,,,,,,,,,,
,, Other,107,113,220,,,,,,,,,,
,, Total,147734,148995,296729,,,,,,,,,,
,Mirzapur,,Male,Female,Total,,,,,,,,,,
,, Muslim,169896,185740,355636,,,,,,,,,,
,, Hindu,25307,26560,51867,,,,,,,,,,
,, Christian,30,181,211,,,,,,,,,,
,, Buddhist,2,20,22,,,,,,,,,,
,, Other,21,24,45,,,,,,,,,,
,, Total,195256,212525,407781,,,,,,,,,,
,Nagarpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,127143,141577,268720,,,,,,,,,,
,, Hindu,9438,9927,19365,,,,,,,,,,
,, Christian,1,1,2,,,,,,,,,,
,, Other,3,2,5,,,,,,,,,,
,, Total,136585,151507,288092,,,,,,,,,,
,Sakhipur,,Male,Female,Total,,,,,,,,,,
,, Muslim,123947,137451,261398,,,,,,,,,,
,, Hindu,7751,7847,15598,,,,,,,,,,
,, Christian,35,24,59,,,,,,,,,,
,, Buddhist,9,-,9,,,,,,,,,,
,, Other,319,302,621,,,,,,,,,,
,, Total,132061,145624,277685,,,,,,,,,,
,Tangail,,Male,Female,Total,,,,,,,,,,
,, Muslim,241373,242603,483976,,,,,,,,,,
,, Hindu,18713,18244,36957,,,,,,,,,,
,, Christian,56,72,128,,,,,,,,,,
,, Buddhist,17,9,26,,,,,,,,,,
,, Other,11,6,17,,,,,,,,,,
,, Total,260170,260934,521104,,,,,,,,,,
,Bagerhat,,Male,Female,Total,,,,,,,,,,
,, Muslim,109557,109650,219207,,,,,,,,,,
,, Hindu,23831,22716,46547,,,,,,,,,,
,, Christian,267,294,561,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,33,37,70,,,,,,,,,,
,, Total,133690,132699,266389,,,,,,,,,,
,Chitalmari,,Male,Female,Total,,,,,,,,,,
,, Muslim,46172,46567,92739,,,,,,,,,,
,, Hindu,23207,22796,46003,,,,,,,,,,
,, Christian,33,25,58,,,,,,,,,,
,, Buddhist,-,2,2,,,,,,,,,,
,, Other,4,4,8,,,,,,,,,,
,, Total,69416,69394,138810,,,,,,,,,,
,Fakirhat,,Male,Female,Total,,,,,,,,,,
,, Muslim,52672,52279,104951,,,,,,,,,,
,, Hindu,16626,16002,32628,,,,,,,,,,
,, Christian,28,29,57,,,,,,,,,,
,, Other,76,77,153,,,,,,,,,,
,, Total,69402,68387,137789,,,,,,,,,,
,Kachua,,Male,Female,Total,,,,,,,,,,
,, Muslim,38643,40002,78645,,,,,,,,,,
,, Hindu,9128,9219,18347,,,,,,,,,,
,, Christian,7,12,19,,,,,,,,,,
,, Total,47778,49233,97011,,,,,,,,,,
,Mollahat,,Male,Female,Total,,,,,,,,,,
,, Muslim,51723,52612,104335,,,,,,,,,,
,, Hindu,13366,12936,26302,,,,,,,,,,
,, Christian,42,47,89,,,,,,,,,,
,, Other,74,78,152,,,,,,,,,,
,, Total,65205,65673,130878,,,,,,,,,,
,Mongla,,Male,Female,Total,,,,,,,,,,
,, Muslim,54166,48132,102298,,,,,,,,,,
,, Hindu,14908,14518,29426,,,,,,,,,,
,, Christian,2401,2436,4837,,,,,,,,,,
,, Buddhist,15,6,21,,,,,,,,,,
,, Other,2,4,6,,,,,,,,,,
,, Total,71492,65096,136588,,,,,,,,,,
,Morrelganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,127602,135730,263332,,,,,,,,,,
,, Hindu,15592,15544,31136,,,,,,,,,,
,, Christian,19,15,34,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,36,36,72,,,,,,,,,,
,, Total,143251,151325,294576,,,,,,,,,,
,Rampal,,Male,Female,Total,,,,,,,,,,
,, Muslim,61545,61705,123250,,,,,,,,,,
,, Hindu,15729,15524,31253,,,,,,,,,,
,, Christian,219,229,448,,,,,,,,,,
,, Buddhist,8,2,10,,,,,,,,,,
,, Other,3,1,4,,,,,,,,,,
,, Total,77504,77461,154965,,,,,,,,,,
,Sarankhola,,Male,Female,Total,,,,,,,,,,
,, Muslim,56701,53135,109836,,,,,,,,,,
,, Hindu,5690,3542,9232,,,,,,,,,,
,, Christian,8,4,12,,,,,,,,,,
,, Buddhist,1,3,4,,,,,,,,,,
,, Total,62400,56684,119084,,,,,,,,,,
,Alamdanga,,Male,Female,Total,,,,,,,,,,
,, Muslim,168267,168448,336715,,,,,,,,,,
,, Hindu,4581,4469,9050,,,,,,,,,,
,, Other,84,73,157,,,,,,,,,,
,, Total,172932,172990,345922,,,,,,,,,,
,Chuadanga,,Male,Female,Total,,,,,,,,,,
,, Muslim,152362,152928,305290,,,,,,,,,,
,, Hindu,4311,4111,8422,,,,,,,,,,
,, Christian,78,94,172,,,,,,,,,,
,, Buddhist,13,4,17,,,,,,,,,,
,, Other,18,16,34,,,,,,,,,,
,, Total,156782,157153,313935,,,,,,,,,,
,Damurhuda,,Male,Female,Total,,,,,,,,,,
,, Muslim,142010,141231,283241,,,,,,,,,,
,, Hindu,2378,2207,4585,,,,,,,,,,
,, Christian,721,695,1416,,,,,,,,,,
,, Buddhist,3,1,4,,,,,,,,,,
,, Other,154,177,331,,,,,,,,,,
,, Total,145266,144311,289577,,,,,,,,,,
,Jiban Nagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,87589,87495,175084,,,,,,,,,,
,, Hindu,2231,2226,4457,,,,,,,,,,
,, Christian,3,2,5,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,15,19,34,,,,,,,,,,
,, Total,89839,89742,179581,,,,,,,,,,
,Abhaynagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,106040,105606,211646,,,,,,,,,,
,, Hindu,24910,24172,49082,,,,,,,,,,
,, Christian,147,123,270,,,,,,,,,,
,, Buddhist,3,2,5,,,,,,,,,,
,, Other,746,685,1431,,,,,,,,,,
,, Total,131846,130588,262434,,,,,,,,,,
,Bagherpara,,Male,Female,Total,,,,,,,,,,
,, Muslim,89917,91402,181319,,,,,,,,,,
,, Hindu,17524,17797,35321,,,,,,,,,,
,, Christian,15,10,25,,,,,,,,,,
,, Other,112,120,232,,,,,,,,,,
,, Total,107568,109329,216897,,,,,,,,,,
,Chaugachha,,Male,Female,Total,,,,,,,,,,
,, Muslim,107079,106884,213963,,,,,,,,,,
,, Hindu,8796,8536,17332,,,,,,,,,,
,, Christian,13,13,26,,,,,,,,,,
,, Other,19,30,49,,,,,,,,,,
,, Total,115907,115463,231370,,,,,,,,,,
,Jhikargachha,,Male,Female,Total,,,,,,,,,,
,, Muslim,138509,143253,281762,,,,,,,,,,
,, Hindu,7304,7104,14408,,,,,,,,,,
,, Christian,1270,1379,2649,,,,,,,,,,
,, Other,44,45,89,,,,,,,,,,
,, Total,147127,151781,298908,,,,,,,,,,
,Keshabpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,103686,104215,207901,,,,,,,,,,
,, Hindu,22726,22177,44903,,,,,,,,,,
,, Christian,109,118,227,,,,,,,,,,
,, Other,135,125,260,,,,,,,,,,
,, Total,126656,126635,253291,,,,,,,,,,
,Jessore,,Male,Female,Total,,,,,,,,,,
,, Muslim,344269,329790,674059,,,,,,,,,,
,, Hindu,34932,31558,66490,,,,,,,,,,
,, Christian,898,1060,1958,,,,,,,,,,
,, Buddhist,54,40,94,,,,,,,,,,
,, Other,161,136,297,,,,,,,,,,
,, Total,380314,362584,742898,,,,,,,,,,
,Manirampur,,Male,Female,Total,,,,,,,,,,
,, Muslim,169539,173458,342997,,,,,,,,,,
,, Hindu,37189,37016,74205,,,,,,,,,,
,, Christian,65,63,128,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,48,41,89,,,,,,,,,,
,, Total,206842,210579,417421,,,,,,,,,,
,Sharsha,,Male,Female,Total,,,,,,,,,,
,, Muslim,165582,166933,332515,,,,,,,,,,
,, Hindu,4270,4173,8443,,,,,,,,,,
,, Christian,133,140,273,,,,,,,,,,
,, Buddhist,7,4,11,,,,,,,,,,
,, Other,41,45,86,,,,,,,,,,
,, Total,170033,171295,341328,,,,,,,,,,
,Harinakunda,,Male,Female,Total,,,,,,,,,,
,, Muslim,94660,94023,188683,,,,,,,,,,
,, Hindu,4478,4262,8740,,,,,,,,,,
,, Christian,14,11,25,,,,,,,,,,
,, Other,133,142,275,,,,,,,,,,
,, Total,99285,98438,197723,,,,,,,,,,
,Jhenaidah,,Male,Female,Total,,,,,,,,,,
,, Muslim,204023,203755,407778,,,,,,,,,,
,, Hindu,23923,23820,47743,,,,,,,,,,
,, Christian,72,61,133,,,,,,,,,,
,, Buddhist,4,2,6,,,,,,,,,,
,, Other,133,139,272,,,,,,,,,,
,, Total,228155,227777,455932,,,,,,,,,,
,Kaliganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,118171,118282,236453,,,,,,,,,,
,, Hindu,22741,22438,45179,,,,,,,,,,
,, Christian,339,319,658,,,,,,,,,,
