,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,, Total,139118,159312,298430,,,,,,,,,,
,Bijoynagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,115499,121414,236913,,,,,,,,,,
,, Hindu,10088,10226,20314,,,,,,,,,,
,, Christian,6,10,16,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Total,125595,131652,257247,,,,,,,,,,
,Brahmanbaria,,Male,Female,Total,,,,,,,,,,
,, Muslim,240269,245463,485732,,,,,,,,,,
,, Hindu,18025,17784,35809,,,,,,,,,,
,, Christian,125,153,278,,,,,,,,,,
,, Buddhist,39,41,80,,,,,,,,,,
,, Other,45,50,95,,,,,,,,,,
,, Total,258503,263491,521994,,,,,,,,,,
,Ashuganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,84117,88132,172249,,,,,,,,,,
,, Hindu,4190,4146,8336,,,,,,,,,,
,, Christian,7,11,18,,,,,,,,,,
,, Buddhist,6,6,12,,,,,,,,,,
,, Other,20,19,39,,,,,,,,,,
,, Total,88340,92314,180654,,,,,,,,,,
,Kasba,,Male,Female,Total,,,,,,,,,,
,, Muslim,145049,160370,305419,,,,,,,,,,
,, Hindu,6781,6975,13756,,,,,,,,,,
,, Christian,5,7,12,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,16,17,33,,,,,,,,,,
,, Total,151852,167369,319221,,,,,,,,,,
,Nabinagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,212555,244111,456666,,,,,,,,,,
,, Hindu,17644,19145,36789,,,,,,,,,,
,, Christian,9,7,16,,,,,,,,,,
,, Buddhist,4,7,11,,,,,,,,,,
,, Other,15,21,36,,,,,,,,,,
,, Total,230227,263291,493518,,,,,,,,,,
,Nasirnagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,126009,132584,258593,,,,,,,,,,
,, Hindu,24536,25815,50351,,,,,,,,,,
,, Christian,12,12,24,,,,,,,,,,
,, Buddhist,2,3,5,,,,,,,,,,
,, Other,18,20,38,,,,,,,,,,
,, Total,150577,158434,309011,,,,,,,,,,
,Sarail,,Male,Female,Total,,,,,,,,,,
,, Muslim,140635,151181,291816,,,,,,,,,,
,, Hindu,11730,11602,23332,,,,,,,,,,
,, Christian,9,11,20,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,15,24,39,,,,,,,,,,
,, Total,152389,162819,315208,,,,,,,,,,
,Chandpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,213400,225407,438807,,,,,,,,,,
,, Hindu,13150,13136,26286,,,,,,,,,,
,, Christian,133,132,265,,,,,,,,,,
,, Buddhist,40,35,75,,,,,,,,,,
,, Other,236,250,486,,,,,,,,,,
,, Total,226959,238960,465919,,,,,,,,,,
,Faridganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,173049,204837,377886,,,,,,,,,,
,, Hindu,9232,9398,18630,,,,,,,,,,
,, Christian,33,40,73,,,,,,,,,,
,, Buddhist,4,1,5,,,,,,,,,,
,, Other,42,47,89,,,,,,,,,,
,, Total,182360,214323,396683,,,,,,,,,,
,Haim Char,,Male,Female,Total,,,,,,,,,,
,, Muslim,51322,53540,104862,,,,,,,,,,
,, Hindu,2309,2362,4671,,,,,,,,,,
,, Christian,8,7,15,,,,,,,,,,
,, Other,12,15,27,,,,,,,,,,
,, Total,53651,55924,109575,,,,,,,,,,
,Hajiganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,146585,162592,309177,,,,,,,,,,
,, Hindu,10350,10928,21278,,,,,,,,,,
,, Christian,7,9,16,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,2,3,5,,,,,,,,,,
,, Total,156944,173533,330477,,,,,,,,,,
,Kachua,,Male,Female,Total,,,,,,,,,,
,, Muslim,168363,188366,356729,,,,,,,,,,
,, Hindu,12352,13016,25368,,,,,,,,,,
,, Christian,6,3,9,,,,,,,,,,
,, Buddhist,14,12,26,,,,,,,,,,
,, Other,1,6,7,,,,,,,,,,
,, Total,180736,201403,382139,,,,,,,,,,
,Matlab,,Male,Female,Total,,,,,,,,,,
,, Muslim,87261,101719,188980,,,,,,,,,,
,, Hindu,10401,10572,20973,,,,,,,,,,
,, Christian,35,5,40,,,,,,,,,,
,, Other,31,26,57,,,,,,,,,,
,, Total,97728,112322,210050,,,,,,,,,,
,Matlab uttar,,Male,Female,Total,,,,,,,,,,
,, Muslim,131323,141609,272932,,,,,,,,,,
,, Hindu,9430,9693,19123,,,,,,,,,,
,, Christian,-,1,1,,,,,,,,,,
,, Other,-,1,1,,,,,,,,,,
,, Total,140753,151304,292057,,,,,,,,,,
,Shahrasti,,Male,Female,Total,,,,,,,,,,
,, Muslim,102269,117604,219873,,,,,,,,,,
,, Hindu,4415,4807,9222,,,,,,,,,,
,, Christian,3,1,4,,,,,,,,,,
,, Buddhist,1,2,3,,,,,,,,,,
,, Other,12,4,16,,,,,,,,,,
,, Total,106700,122418,229118,,,,,,,,,,
,Anowara,,Male,Female,Total,,,,,,,,,,
,, Muslim,109967,114529,224496,,,,,,,,,,
,, Hindu,16154,17056,33210,,,,,,,,,,
,, Christian,21,18,39,,,,,,,,,,
,, Buddhist,559,709,1268,,,,,,,,,,
,, Other,8,1,9,,,,,,,,,,
,, Total,126709,132313,259022,,,,,,,,,,
,Bayejid bostami,,Male,Female,Total,,,,,,,,,,
,, Muslim,103476,94635,198111,,,,,,,,,,
,, Hindu,5873,5595,11468,,,,,,,,,,
,, Christian,70,35,105,,,,,,,,,,
,, Buddhist,791,751,1542,,,,,,,,,,
,, Other,81,48,129,,,,,,,,,,
,, Total,110291,101064,211355,,,,,,,,,,
,Banshkhali,,Male,Female,Total,,,,,,,,,,
,, Muslim,190526,196194,386720,,,,,,,,,,
,, Hindu,19764,20915,40679,,,,,,,,,,
,, Christian,95,80,175,,,,,,,,,,
,, Buddhist,1571,1925,3496,,,,,,,,,,
,, Other,55,37,92,,,,,,,,,,
,, Total,212011,219151,431162,,,,,,,,,,
,Bakalia,,Male,Female,Total,,,,,,,,,,
,, Muslim,125924,112369,238293,,,,,,,,,,
,, Hindu,12489,10954,23443,,,,,,,,,,
,, Christian,32,37,69,,,,,,,,,,
,, Buddhist,463,419,882,,,,,,,,,,
,, Other,6,10,16,,,,,,,,,,
,, Total,138914,123789,262703,,,,,,,,,,
,Boalkhali,,Male,Female,Total,,,,,,,,,,
,, Muslim,86822,90380,177202,,,,,,,,,,
,, Hindu,20335,21112,41447,,,,,,,,,,
